**2024**,,
Title,Author,Finished
Forever Home,Graham Norton,2024-10-08
Death Deserved,Thomas Enger,2024-08-03
The Mercy Chair,M W Craven,2024-07-20
See Her Run,Peggy Townsend,2024-07-11
Resurrection Walk,Michael Connelly,2024-06-28
Jamaica Inn,dauphin Due Maurier,2024-06-23
Mercy Department Q,Jussi Alder-Olsen,2024-06-11
They Come At Night,Yasmin Angoe,2024-05-26
The City of Mist,Carlos Ruiz Zafon,2024-05-11
J Is For Judgement,Sue Grafton,2024-04-30
Snow Fall,Jørn Lier Horst,2024-04-10
The Empty Chair,Jeffrey Deaver,2024-03-20
The Truth,Terry Pratchett,2024-03-11
The Long Road To Mercy,David Baldacci,2024-02-22
The New York Trilogy,Paul Auster,2024-02-14
Rambling Man,Billy Connolly,2024-01-30
A Narrow Door,Joanne Harris,2024-01-26
I Is For Innocent,Sue Grafton,2024-01-19
The Night House,Jo Nesbo,2024-01-10
Bumps in the Road,Maria McErlane,2024-01-07
**2023**,,
Title,Author,Finished
The Fifth Elephant,Terry Prachett,2023-12-30
Fearless,M W Craven,2023-12-14
Tick Tock,Simon Mayo,2023-12-07
Body Breaker,M W Craven,2023-11-20
Broken Light,Joanne Harris,2023-11-07
Harlem Shuffle,Colson Whitehead,2023-10-07
Carpe Jugulum,Terry Pratchett,2023-09-04
H is For Homicide,Sue Grafton,2023-08-11
Born in a Burial Gown,M W Craven,2023-08-03
The Running Girls,Matt Brolly,2023-07-28
Desert Star,Michael Connelly,2023-07-10
Sundiver,David Brin,2023-07-10
Our Man in Havana,Graham Greene,2023-06-12
The Last Continent,Terry Pratchett,2023-06-01
The Cuckoo's Calling,Robert Galbraith,2023-05-22
Utopia Avenue,David Mitchell,2023-04-28
How to Kill men and Get Away With It,Katy Brent,2023-03-28
Travels With My Aunt,Graham Greene,2023-03-21
1989,Val McDermid,2023-03-09
Beryl Burton,Jeremy Wilson,2023-02-16
The Coffin Dancer,Jeffery Deaver,2023-02-08
The Institute,Stephen King,2023-01-29
1979,Val McDermid,2023-01-14
Title,Author,Finished
Murder Before Evensong,Richard Coles,2023-01-03
The Quite American,Graham Greene,2022-12-24
The Controller,Matt Brolly,2022-12-20
Sprinting Through No Mans Land,Matt Brolly,2022-12-11
Middleshade Road,Matt Gemmell,2022-12-07
Face Value,Ben Aaronvitch,2022-11-30
The Bone Collector,Jeffrey Deaver,2022-11-18
Jingo,Terry Pratchett,2022-11-05
The Botanist,M W Craven,2022-10-26
Her Name Is Knight,Yasmin Angoe,2022-10-19
Fahrenheit 451,Ray Bradbury,2022-10-02
Cut Short,M W Craven,2022-09-23
The Cutting Season,M W Craven,2022-09-23
The Relentless Moon,Mary Robinson Kowal,2022-09-19
Fender Benders,Bill Fitzhugh,2022-09-13
Dead Ground,M W Craven,2022-09-04
Snow Country,Sebastian Faulks,2022-09-01
The Curator,M W Craven,2022-08-25
Camino Winds,John Grisham,2022-08-22
The Confession,John Grisham,2022-08-16
Camino Island,John Grisham,2022-08-11
Breakup,Dana Stabenow,2022-08-04
Dead Simple,Peter James,2022-07-22
The Dark Hours,Michael Connelly,2022-07-18
Exit,Belinda Bauer,2022-07-13
Skyward,Brandon Sanderson,2022-07-06
Blaze,Stephen King,2022-06-27
My Cousin Rachel,Daphne Du Maurier,2022-06-24
Full Tilt,Dervla Murphy,2022-06-15
G Is For Gumshoe,Sue Grafton,2022-06-13
Hogfather,Terry Pratchett,2022-06-02
Lies sleeping,Ben Aaronovitch,2022-05-24
Open An Autobiography,Andre Agassi,2022-05-20
Power of Attorney,James Patterson,2022-05-10
Jailhouse Lawyer,James Patterson,2022-05-08
F is For Fugitive,Sue Grafton,2022-05-06
The Fated Sky (The Lady Astronaut Book 2),Mary Robinette Kowal,2022-04-26
The Jealousy Man,Jo Nesbo,2022-04-19
House On The Strand,Daphne Du Maurier,2022-04-07
Black Summer, M.W. Crave,2022-03-24
Blood Will Tell,Dana Stabenow,2022-03-16
Knife Edge,Simon Mayo,2022-03-11
Gods of Mars,Edgar Rice Burroughs,2022-03-08
Billy Connolly,Pamela Stephenson,2022-03-01
The Never Game,Jeffrey Deaver,2022-02-23
The Strawberry Thief,Joanne Harris,2022-02-18
Hit Me,Lawrence Block,2022-02-16
Win,Harlen Coben,2022-02-14
Puppet Show,M W Craven,2022-02-09
Hit and Run,Lawrence Block,2022-02-04
Rose Madder,Stephen King,2022-01-25
The Calculating Stars (The Lady Astronaut Book 1),Mary Robinette Kowal,2022-01-25
Sourdough,Robin Sloan,2022-01-20
Blackberry Wine,Joanne Harris,2022-01-12
Title,Author,Finished
Short Fiction,Robert Sheckley,2021-12-30
Highway 61 Resurfaced,Bill Fitzhugh,2021-12-26
Glass Coffin,Gabby Hutchinson Crouch,2021-12-20
Radio Activity,Bill Fitzhugh,2021-12-14
Play with Fire,Dana Stabenow,2021-12-07
Temporary,Hilary Leichter,2021-12-02
E Is For Evidence,Sue Grafto,2021-11-25
Such Big Teeth,Gabby Hutchinson Crouch,2021-11-18
Two Brothers,Ben Elton,2021-11-06
Darkwood,Gabby Hutchinson Crouch,2021-10-15
Bashan and I,Thomas Mann,2021-10-08
D Is For Deadbeat,Due Grafton,2021-10-04
Five Quarters of the Orange,Joanne Harris,2021-09-25
The Big Sleep,Raymond Chandler,2021-09-08
A Cold Blooded Business,Dana Stabenow,2021-08-29
Celestial Navigation,Anne Tyler,2021-08-24
Sunset Park,Paul Auster,2021-08-17
Dead In The Water,Dana Stabenow,2021-08-08
The Hollow Needle,Maurice Leblanc,2021-08-03
The Law of Innocence,Michael Connelly,2021-07-11
C is for Corpse,Sue Grafton,2021-07-08
Feet of Clay,Terry Pratchett,2021-06-29
B is for Burgler,Sue Grafton,2021-06-15
Maskerade,Terry Pratchett,2021-06-08
A is for Alibi,Sue Grafton,2021-05-30
The Kingdom,Jo Nesbo,2021-05-18
Arsene Lupin Verses Herlock Sholmes,Maurice Leblanc,2021-05-11
Lollipop Shoes,Joanne Harris,2021-05-05
The Sea-Wolf,Jack London,2021-04-05
The Jungle Book,Rudyard Kipling,2021-03-25
The Crossing,Matt Brolly,2021-03-16
The Russian Affair,David Walsh,2021-03-05
True Grit,Charles Portis,2021-02-25
The Boy From The Woods,Harlan Coben,2021-02-22
My Garden World,Monty Don,2021-02-18
A Princess of Mars,Edgar Rice Burroughs,2021-02-03
Summer,Edith Wharton,2021-01-25
The Snowman Harry Hole 7,Jo Nesbo,2021-01-16
Twelve Days Of Winter,Stuart Macbride,2021-01-09
Prepared For Rage,Dana Stabenow,2021-01-02
Title,Author,Finished
Diary of a Young Naturalist,Dara McAnulty,2020-12-30
Not Quite Worlds End,John Simpson,2020-12-19
On the Road,Jack Kerouac,2020-12-14
Mistress,James Patterson,2020-11-05
The Savage Shore,David Hewson,2020-11-05
The Distant Echo,Val McDermid,2020-10-23
Run Away,Harlan Coben,2020-09-13
The Son,Jo Nesbo,2020-10-05
Ghosts of Spain,Giles Tremlett,2020-08-21
Rebecca,Daphne du Maurier,2020-08-31
Blindfold Game,Dana Stabenow,2020-08-18
Takeoff Seth Walker Book 1,Joseph Reid,2020-07-29
Nigel My Family and Other Dogs,Monty Don,2020-07-22
A Man,Keiichiro Hirano,2020-07-14
The Last Emperox,John Scalzi,2020-07-05
Ultimatum,Frank Gardner,2020-06-19
Paul OGradys County Life,Paul OGradys,2020-06-12
The Consuming Fire,John Scalzi,2020-06-04
Blueeyedboy,Joanne Harris,2020-05-29
First Man The Life of Neil Armstrong,James R Hanson,2020-05-22
A Fatal Thaw,Dana Stabenow,2020-05-16
Gentlemen and Players,Joanne Harris,2020-05-09
The Night Fire,Michael Connelly,2020-05-03
The Collapsing Empire,John Scalzi,2020-04-30
Interesting Times,Terry Pratchett,2020-04-22
The Strange Case of the Moderate Extremists,Alexander McCall Smith,2020-04-12
The Department of Sensitive Crimes,Alexander McCall Smith,2020-04-12
A Cold Day for a Murder,Dan Stabenow,2020-04-01
Stalins Ghost,Martin Cruz Smith,2020-03-30
Rubbernecker,Belinda Bauer,2020-03-24
