Title,Author,Finished
White Fang,Jack London,2011-01-06
Birdsong,Sebastian Faulks,2011-01-31
Unnatural Exposure: A Kay Scarpetta Novel (Dr Kay Scarpetta),Patricia Cornwell,2011-02-10
No Second Chance,Harlan Coben,2011-02-17
The Basement,Stephen Leather,2011-03-05
Travels with Charley: In Search of America,John Steinbeck,2011-03-05
The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,2011-03-27
The 39 Steps,John Buchan,2011-04-04
The Great Gatsby (Wordsworth Classics),F. Scott Fitzgerald,2011-04-11
Greenmantle,John Buchan,2011-05-02
The Seventh Sacrament (Nic Costa),David Hewson,2011-06-07
Mr Standfast,John Buchan,2011-07-06
Nine Dragons,Michael Connelly,2011-07-18
The Reversal,Michael Connelly,2011-07-25
Redburn (English Library),Herman Melville,2011-08-01
Rivers of London (Rivers of London 1),Ben Aaronovitch,2011-09-16
The Garden of Evil (Nic Costa),David Hewson,2011-10-11
Racing through The Dark The Rise and Fall of David Millar,David Millar,2011-10-14
The Rider,Tim Krabbe,2011-10-23
The Scarecrow,Michael Connelly,2011-10-26
Blow Fly,Patricia Cornwell,2011-11-23
The Grapes of Wrath,John Steinbeck,2011-11-24
One False Move,Harlan Coben,2011-11-28
The Fifth Witness,Michael Connelly,2011-12-13
The Skys Dark Labyrinth,Stuart Clark,2011-12-28
