Date,Town,City,Clouds,"Temp C","Humidity %","Wind mph","Wind Direction",Sunrise,Sunset
2024-01-01, Montroy, ES, overcast clouds, 8.8, 75%, 2.0, W, 08:22, 17:49
2024-01-01, Montroy, ES, overcast clouds, 14.2, 49%, 8.0, W, 08:22, 17:49
2024-01-01, Montroy, ES, clear sky, 12.6, 56%, 1.6, SW, 08:22, 17:49
2024-01-02, Montroy, ES, broken clouds, 9, 74%, 8.4, WSW, 08:22, 17:49
2024-01-02, Montroy, ES, scattered clouds, 15.6, 32%, 17.4, W, 08:22, 17:49
2024-01-02, Montroy, ES, overcast clouds, 16.7, 55%, 6.0, WNW, 08:22, 17:49
2024-01-03, Montroy, ES, overcast clouds, 15.6, 69%, 10.2, W, 08:22, 17:50
2024-01-03, Montroy, ES, overcast clouds, 19, 55%, 12.0, WNW, 08:22, 17:50
2024-01-03, Montroy, ES, scattered clouds, 18.3, 61%, 9.0, WNW, 08:22, 17:50
2024-01-04, Montroy, ES, overcast clouds, 12.5, 86%, 2.0, WNW, 08:22, 17:51
2024-01-04, Montroy, ES, overcast clouds, 18.1, 69%, 5.8, SW, 08:22, 17:51
2024-01-04, Montroy, ES, overcast clouds, 15.1, 72%, 6.3, WSW, 08:22, 17:51
2024-01-05, Montroy, ES, scattered clouds, 11.7, 76%, 11.0, WNW, 08:22, 17:52
2024-01-05, Montroy, ES, scattered clouds, 14.8, 52%, 8.0, WNW, 08:22, 17:52
2024-01-05, Montroy, ES, broken clouds, 12.3, 52%, 9.0, NW, 08:22, 17:52
2024-01-06, Montroy, ES, clear sky, 8.3, 62%, 12.0, WNW, 08:22, 17:53
2024-01-06, Montroy, ES, clear sky, 14.2, 43%, 12.0, WNW, 08:22, 17:53
2024-01-06, Montroy, ES, clear sky, 13, 36%, 13.0, WNW, 08:22, 17:53
2024-01-07, Montroy, ES, clear sky, 7.6, 64%, 12.9, W, 08:22, 17:54
2024-01-07, Montroy, ES, few clouds, 12.8, 39%, 15.0, WNW, 08:22, 17:54
2024-01-07, Montroy, ES, clear sky, 12.4, 34%, 10.0, NW, 08:22, 17:54
2024-01-08, Montroy, ES, few clouds, 6.2, 71%, 9.2, W, 08:22, 17:55
2024-01-08, Montroy, ES, clear sky, 12.8, 23%, 13.3, WNW, 08:22, 17:55
2024-01-12, Montroy, ES, few clouds, 3.9, 81%, 2.0, W, 08:21, 17:59
2024-01-12, Montroy, ES, clear sky, 10.6, 63%, 6.0, ESE, 08:21, 17:59
2024-01-21, Montroy, ES, clear sky, 12.4, 75%, 3.0, SE, 08:18, 18:08
2024-01-22, Montroy, ES, scattered clouds, 5.1, 90%, 3.0, WSW, 08:17, 18:09
2024-01-22, Montroy, ES, scattered clouds, 16.4, 51%, 4.0, SE, 08:17, 18:09
2024-01-22, Montroy, ES, broken clouds, 13.7, 54%, 4.2, W, 08:17, 18:09
2024-01-23, Montroy, ES, few clouds, 9.2, 85%, 5.0, W, 08:17, 18:11
2024-01-23, Montroy, ES, broken clouds, 19, 59%, 4.0, ESE, 08:17, 18:11
2024-01-23, Montroy, ES, few clouds, 17.8, 63%, 3.0, ESE, 08:17, 18:11
2024-01-24, Montroy, ES, clear sky, 9.4, 88%, 2.0, W, 08:16, 18:12
2024-01-24, Montroy, ES, clear sky, 19.5, 33%, 3.6, SW, 08:16, 18:12
2024-01-24, Montroy, ES, clear sky, 18.5, 45%, 2.0, WNW, 08:16, 18:12
2024-01-25, Montroy, ES, clear sky, 11.1, 58%, 4.0, W, 08:15, 18:13
2024-01-25, Montroy, ES, clear sky, 22.1, 41%, 3.0, SSE, 08:15, 18:13
2024-01-25, Montroy, ES, broken clouds, 16.4, 63%, 3.0, SSW, 08:15, 18:13
2024-01-26, Montroy, ES, broken clouds, 11.3, 66%, 5.0, W, 08:15, 18:14
2024-01-26, Montroy, ES, broken clouds, 20.1, 46%, 2.0, E, 08:15, 18:14
2024-01-26, Montroy, ES, overcast clouds, 17.8, 55%, 2.0, N, 08:15, 18:14
2024-01-27, Montroy, ES, overcast clouds, 8.7, 78%, 5.0, WNW, 08:14, 18:15
2024-01-27, Montroy, ES, overcast clouds, 17.2, 53%, 3.0, E, 08:14, 18:15
2024-01-27, Montroy, ES, overcast clouds, 15.3, 67%, 4.0, SE, 08:14, 18:15
2024-01-28, Montroy, ES, broken clouds, 6.9, 85%, 5.0, W, 08:13, 18:16
2024-01-28, Montroy, ES, broken clouds, 14.1, 47%, 4.5, E, 08:13, 18:16
2024-01-28, Montroy, ES, broken clouds, 11.5, 93%, 2.0, E, 08:13, 18:16
2024-01-29, Montroy, ES, overcast clouds, 9.7, 91%, 4.0, WNW, 08:12, 18:18
2024-01-29, Montroy, ES, overcast clouds, 12.8, 80%, 4.0, NNW, 08:12, 18:18
2024-01-29, Montroy, ES, overcast clouds, 13.1, 81%, 4.0, ENE, 08:12, 18:18
2024-01-30, Montroy, ES, overcast clouds, 11.6, 89%, 2.0, W, 08:12, 18:19
2024-01-30, Montroy, ES, overcast clouds, 13.4, 78%, 4.8, ENE, 08:12, 18:19
2024-01-30, Montroy, ES, overcast clouds, 13.1, 76%, 3.0, ESE, 08:12, 18:19
